"";"title";"url";"description";"lng";"lat";"city";"street";"zip";"date_start";"date_end";"price";"time_start";"time_end";"organizer"
"1";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17538";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"2";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17539";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"3";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17540";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"4";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Kerzen basteln und verzieren";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17541";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"5";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Schneemann";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17542";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"6";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern- PLENUM, 20.00 Uhrinternes Aktiventreffen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17545";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"7";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17546";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"8";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17547";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"9";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"NA";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17548";"NA";"NA";"NA";"NA";"Familienzentrum Würzburg e.V."
"10";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Glitzer-Schneekristalle";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17549";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"11";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17552";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"12";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17553";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"13";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17554";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
