"";"title";"url";"description";"lng";"lat";"city";"street";"zip";"date_start";"date_end";"time_start";"time_end";"price";"organizer"
"1";"Speed Dating: Liebesspielchen im Museum";"https://www.martinvonwagner-museum.com/veranstaltungen";NA;"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";NA;NA;"15:00:00";"17:00:00";"7";"Martin von Wagner Museum"
"2";"Ein Apfel der Geschichte macht – Paris und der Kampf um Troja";"https://www.martinvonwagner-museum.com/veranstaltungen";" Antikensammlung";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-05-20";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"3";"Salben, Salbei, Salus – Gesundheit in der Antike";"https://www.martinvonwagner-museum.com/veranstaltungen";" Antikensammlung";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-05-27";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"4";"Zwischen Leidenschaft und Lächerlichkeit";"https://www.martinvonwagner-museum.com/veranstaltungen";" Gemäldegalerie";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-06-03";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"5";"Verliebt, verschmäht, verwandelt. Ovids Liebesgeschichte von „Narziss und Echo“ auf den Wänden Pompejis";"https://www.martinvonwagner-museum.com/veranstaltungen";" Toscanasaal";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-06-04";NA;"18:00:00";NA;NA;"Martin von Wagner Museum"
"6";"Der Brennnessel ganz nah ist oft die Rose";"https://www.martinvonwagner-museum.com/veranstaltungen";" im Marmorsaal der Antikensammlung";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";NA;"2018-06-07";"20:00:00";NA;NA;"Martin von Wagner Museum"
"7";"Obsession: odor per fumum";"https://www.martinvonwagner-museum.com/veranstaltungen";NA;"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-06-16";NA;"15:00:00";NA;"7";"Martin von Wagner Museum"
"8";"Zwischen Leidenschaft und Lächerlichkeit";"https://www.martinvonwagner-museum.com/veranstaltungen";" Gemäldegalerie";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-06-17";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"9";"„Urworte leidenschaftlicher Gebärdensprache“.";"https://www.martinvonwagner-museum.com/veranstaltungen";" Toscanasaal";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-06-18";NA;"18:00:00";NA;NA;"Martin von Wagner Museum"
"10";"Zwischen Leidenschaft und Lächerlichkeit";"https://www.martinvonwagner-museum.com/veranstaltungen";" Gemäldegalerie";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-07-01";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"11";"Der Wahn der Liebe in der Musik";"https://www.martinvonwagner-museum.com/veranstaltungen";" Toscanasaal";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-07-09";NA;"18:00:00";NA;NA;"Martin von Wagner Museum"
"12";"Zwischen Leidenschaft und Lächerlichkeit";"https://www.martinvonwagner-museum.com/veranstaltungen";" Gemäldegalerie";"9.938440";"49.79331";"Wuerzburg";"Residenzplatz 2A";"97070";"2018-07-15";NA;"11:00:00";"12:00:00";NA;"Martin von Wagner Museum"
"13";" SPIELMÄUSE ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Spielgruppe für 2-4-Jährige und Eltern";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-04";NA;NA;"17:30:00";NA;"Familienzentrum Würzburg e.V."
"14";"LINE DANCE muss leider ";"https://www.martinvonwagner-museum.com/veranstaltungen";NA;"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-05";NA;NA;NA;NA;"Familienzentrum Würzburg e.V."
"15";" KRABBELKÄFER ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-05";NA;NA;"17:00:00";NA;"Familienzentrum Würzburg e.V."
"16";"CAFÉ KLEIN & GROSS ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Thema: Kartoffelstempeln";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-07";NA;NA;"18:30:00";NA;"Familienzentrum Würzburg e.V."
"17";"CAFÉ KLEIN & GROSS ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Thema: Blumendruck";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-08";NA;NA;"18:30:00";NA;"Familienzentrum Würzburg e.V."
"18";" SPIELMÄUSE ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Spielgruppe für 2-4-Jährige und Eltern- ELTERNABEND um 20.00 UhrKindertagesstätte";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-11";NA;NA;"17:30:00";NA;"Familienzentrum Würzburg e.V."
"19";"LINE DANCE ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Tanzgruppe für Anfänger";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-12";NA;NA;"21:30:00";NA;"Familienzentrum Würzburg e.V."
"20";" KRABBELKÄFER ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-13";NA;NA;"17:00:00";NA;"Familienzentrum Würzburg e.V."
"21";"CAFÉ KLEIN & GROSS ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Thema: Bunte Steine";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-14";NA;NA;"18:30:00";NA;"Familienzentrum Würzburg e.V."
"22";"CAFÉ KLEIN & GROSS ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Thema: Wasserspiele";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-15";NA;NA;"18:30:00";NA;"Familienzentrum Würzburg e.V."
"23";"HIP HOP KIDZ mini von ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Tanzkurs für 5- bis 7-jährige Jungs und Mädchen- HIP HOP KIDZ mini 2 von 10.45 bis 11.15 UhrTanzkurs für 5- bis 7-jährige Jungs und Mädchen";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-16";NA;NA;NA;NA;"Familienzentrum Würzburg e.V."
"24";" SPIELMÄUSE ";"https://www.martinvonwagner-museum.com/veranstaltungen";"Spielgruppe für 2-4-Jährige und Eltern- PLENUM, 20.00 UhrAktiventreff";"9.936840";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"2018-06-18";NA;NA;"17:30:00";NA;"Familienzentrum Würzburg e.V."
