"","title","url","description","lng","lat","city","street","zip","date_start","date_end","time_start","time_end","price","organizer"
"1","OVID. Amor fou – Zwischen Leidenschaft und Lächerlichkeit","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/4","Veranstaltungsort: Residenzplatz 2 (Residenz)
                
                    , Gemäldegalerie, Martin von Wagner Museum","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-14,2018-07-15,10:00:00,17:00:00," Erwachsene: 3 Euroermäßigt: 1,5","Martin von Wagner Museum"
"2","Erweiterte Realität","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/4","Veranstaltungsort: Magistrale des Zentrums Operative Medizin, Oberdürrbacher Straße 6, 97080 Würzburg","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-16,2018-07-13,08:00:00,19:00:00,NA,"Belarussische Staatliche Akademie der Künste Studentisches Zentrum für aktuelle Kunst „Alla prima“"
"3","Bienenprojekt auf der Landesgartenschau 2018","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/4","Veranstaltungsort: Landesgartenschaugelände Hubland","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-12,2018-10-07,00:00:00,00:00:00,NA,"HOBOS"
"4","Fotoausstellungen im Rahmen des 30. Internationalen Africa Festivals","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/4","Veranstaltungsort: Sanderring 2 (Neue Universität)
                
                    , Foyer der Universität","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-26,2018-07-27,07:00:00,19:00:00,NA,"Universität Würzburg
                
                    , Africa Festival"
"5","OVID. Amor fou – Zwischen Leidenschaft und Lächerlichkeit","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/5","Veranstaltungsort: Residenzplatz 2 (Residenz)
                
                    , Gemäldegalerie, Martin von Wagner Museum","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-14,2018-07-15,10:00:00,17:00:00," Erwachsene: 3 Euroermäßigt: 1,5","Martin von Wagner Museum"
"6","Erweiterte Realität","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/5","Veranstaltungsort: Magistrale des Zentrums Operative Medizin, Oberdürrbacher Straße 6, 97080 Würzburg","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-16,2018-07-13,08:00:00,19:00:00,NA,"Belarussische Staatliche Akademie der Künste Studentisches Zentrum für aktuelle Kunst „Alla prima“"
"7","Bienenprojekt auf der Landesgartenschau 2018","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/5","Veranstaltungsort: Landesgartenschaugelände Hubland","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-12,2018-10-07,00:00:00,00:00:00,NA,"HOBOS"
"8","Fotoausstellungen im Rahmen des 30. Internationalen Africa Festivals","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/5","Veranstaltungsort: Sanderring 2 (Neue Universität)
                
                    , Foyer der Universität","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-26,2018-07-27,07:00:00,19:00:00,NA,"Universität Würzburg
                
                    , Africa Festival"
"9","OVID. Amor fou – Zwischen Leidenschaft und Lächerlichkeit","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Residenzplatz 2 (Residenz)
                
                    , Gemäldegalerie, Martin von Wagner Museum","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-14,2018-07-15,10:00:00,17:00:00," Erwachsene: 3 Euroermäßigt: 1,5","Martin von Wagner Museum"
"10","Erweiterte Realität","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Magistrale des Zentrums Operative Medizin, Oberdürrbacher Straße 6, 97080 Würzburg","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-03-16,2018-07-13,08:00:00,19:00:00,NA,"Belarussische Staatliche Akademie der Künste Studentisches Zentrum für aktuelle Kunst „Alla prima“"
"11","Bienenprojekt auf der Landesgartenschau 2018","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Landesgartenschaugelände Hubland","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-12,2018-10-07,00:00:00,00:00:00,NA,"HOBOS"
"12","Fotoausstellungen im Rahmen des 30. Internationalen Africa Festivals","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Sanderring 2 (Neue Universität)
                
                    , Foyer der Universität","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-04-26,2018-07-27,07:00:00,19:00:00,NA,"Universität Würzburg
                
                    , Africa Festival"
"13","Aktionsprogramm für Schulklassen Themenschwerpunkt: Arzneipflanzen","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Julius-von-Sachs-Platz 4 (Botanischer Garten)","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-01,2018-07-31,00:00:00,00:00:00,NA,"Botanischer Garten
                
                    , LehrLernGarten"
"14","Die grüne Apotheke - vom Hortus Medicus zur Pharmaforschung","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Julius-von-Sachs-Platz 4 (Botanischer Garten)","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-09,2018-09-16,08:00:00,18:00:00,NA,"Botanischer Garten"
"15","Prof. J. Wöhnert: RNA aptamers and riboswitches as versatile model systems to understand RNA structure, folding and ligand recognition","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Hubland Süd, Geb. C3
                
                    , HS C","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-18,2018-06-18,17:15:00,18:15:00,NA,"Universität Würzburg
                
                    , Institut für Organische Chemie"
"16","Long-Range Interacting Atomic Ensembles","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Hubland Süd, Geb. P1
                
                    , Physikalisches Institut, Hörsaal P","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-18,2018-06-18,17:15:00,18:45:00,NA,"Fakultät für Physik und Astronomie"
"17","""Urworte leidenschaftlicher Gebärdensprache"" Aby Warburg und Ovid","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Residenzplatz 2 (Residenz)
                
                    , Toscanasaal","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-18,2018-06-18,18:00:00,20:00:00,NA,"Martin von Wagner Museum"
"18","Plurale Literalitäten: im Gespräch","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Hubland Süd, Geb. PH1
                
                    , Übungsraum 23","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-18,2018-06-18,18:00:00,20:00:00,NA,"Lehrstuhl für Europäische Ethnologie/Volkskunde"
"19","Ernährungsüberfluss in der Wüste – das Beispiel  Saudi Arabien","https://www.uni-wuerzburg.de/sonstiges/veranstaltungskalender/zeitraum/2018/6","Veranstaltungsort: Sanderring 2 (Neue Universität)
                
                    , Hörsaal 166","9.935561","49.787891","Wuerzburg","Sanderring 2","97070",2018-06-18,2018-06-18,20:00:00,22:00:00,NA,"Geographische Gesellschaft Würzburg e.V."
