"date_start","date_end","time_start","time_end","title","description","price","city","street","zip","organizer","lat","lng","url"
2018-03-02,2018-03-02,NA,NA,"SV-Skipokalbei e.v. AMV Innsbruck(iomD*)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-07,2018-04-07,12:00:00,NA,"""KIHBLÜH AHOI!"" das traditionsreiche Kirschblüte",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-09,2018-04-09,NA,NA,"Beginn der Vorlesungszeit Sommersemester ",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-11,2018-04-11,20:00:00,NA,"Ankonvent(ho)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-13,2018-04-13,20:00:00,NA,"Ankneipe (o)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-16,2018-04-16,20:00:00,NA,"Erste Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-17,2018-04-17,20:00:00,NA,"Erste Chorprobe mit Sektempfang (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-19,2018-04-19,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-20,2018-04-20,NA,NA,"SV-Musikwochenendebei StMV Blaue Sänger Göttingen",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-23,2018-04-23,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-24,2018-04-24,20:00:00,NA,"Chorprobe(mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-26,2018-04-26,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-04-30,2018-04-30,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-01,2018-05-01,10:00:00,NA,"Maiwanderung (iomD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-03,2018-05-03,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-07,2018-05-07,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-08,2018-05-08,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-09,2018-05-09,19:30:00,NA,"Weinprobebei unserem lieben AH Wirsching in Iphof",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-10,2018-05-10,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-11,2018-05-11,20:00:00,NA,"Mottokneipe (io*)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-14,2018-05-14,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-15,2018-05-15,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-17,2018-05-17,20:00:00,NA,"Theaterprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-18,2018-05-18,NA,NA,"SV-Pfingstsegeln in Plauam See(iomD*)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-21,2018-05-21,20:00:00,NA,"Bigbandprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
2018-05-22,2018-05-22,20:00:00,NA,"Chorprobe (mD)",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
NA,NA,21:30:00,NA,"offenerBarabend",NA,NA,"Wuerzburg","Valentin-Becker-Straße 2",97072,"AMW",49.7909,9.94384,"https://www.amv-wuerzburg.de/semesterprogramm"
