"title","url","description","lng","lat","city","street","zip","date_start","date_end","time_start","time_end","price","organizer"
"Energie & Gelassenheit","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/energie-gelassenheit/2018-06-18/?tx_events2_events%5Baction%5D=show&cHash=d22b1bde533dba5a168c1774a672fed3","Yoga - Koerper und Geist in Einklang bringen

Yoga wird vor allem zur Verbesserung der Fitness und des Wohlbefindens betrieben. Eine therapeutische Anwendung der Methoden des Yogas bei Erkrankten ist in Deutschland leider noch die Ausnahme. Klinische Studien und Erfahrungsberichte zeigen jedoch, dass Yoga in der Krebsbehandlung ein neuer Stellenwert zukommt. Eine Yogaorientierte Therapie unterstuetzt und foerdert in vielfaeltiger Weise die individuelle Lebensqualitaet.

Wie heilsam Yoga sein kann, konnte bereits bei Symptomen wie Fatigue, Schmerz, Sturzneigung nachgewiesen werden. Daneben helfen Yogauebungen bei der allgemeinen Krankheitsbewaeltigung. Yoga beinhaltet Entspannungs- und Atemuebungen sowie Übungen zur Kraeftigung der Muskulatur, Ausdauer und Koerperbalance. Meditative Praktiken werden ebenfalls eingebunden. Die Form des Hatha-Yogas passt sich individuell an den persoenlichen Gesundheitszustand der Betroffenen und ihren Symptomen oder Einschraenkungen an. Bei den Übungen kommt es weniger auf Koerperkraft oder Beweglichkeit als vielmehr auf eine Art der inneren Achtsamkeit an.

Im Kurs versuchen wir einen Ausgleich zu den Belastungen einer Krebserkrankung zu schaffen, neue Kraft zu schoepfen, Gelassenheit zu erlernen und Angst zu reduzieren.

Bitte melden Sie sich telefonisch oder per E-Mail an.Dieses Angebot ist kostenlos.Ihr psychoonkologisches Team",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-18,2018-06-18,16:00:00,17:00:00,NA,"Universitaetsklinikum Wuerzburg"
"Energie & Gelassenheit","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/energie-gelassenheit-1/2018-06-18/?tx_events2_events%5Baction%5D=show&cHash=91004b8b9ae5f79068ceea704a2598d1","Yoga - Koerper und Geist in Einklang bringen

Yoga wird vor allem zur Verbesserung der Fitness und des Wohlbefindens betrieben. Eine therapeutische Anwendung der Methoden des Yogas bei Erkrankten ist in Deutschland leider noch die Ausnahme. Klinische Studien und Erfahrungsberichte zeigen jedoch, dass Yoga in der Krebsbehandlung ein neuer Stellenwert zukommt. Eine Yogaorientierte Therapie unterstuetzt und foerdert in vielfaeltiger Weise die individuelle Lebensqualitaet.

Wie heilsam Yoga sein kann, konnte bereits bei Symptomen wie Fatigue, Schmerz, Sturzneigung nachgewiesen werden. Daneben helfen Yogauebungen bei der allgemeinen Krankheitsbewaeltigung. Yoga beinhaltet Entspannungs- und Atemuebungen sowie Übungen zur Kraeftigung der Muskulatur, Ausdauer und Koerperbalance. Meditative Praktiken werden ebenfalls eingebunden. Die Form des Hatha-Yogas passt sich individuell an den persoenlichen Gesundheitszustand der Betroffenen und ihren Symptomen oder Einschraenkungen an. Bei den Übungen kommt es weniger auf Koerperkraft oder Beweglichkeit als vielmehr auf eine Art der inneren Achtsamkeit an.

Im Kurs versuchen wir einen Ausgleich zu den Belastungen einer Krebserkrankung zu schaffen, neue Kraft zu schoepfen, Gelassenheit zu erlernen und Angst zu reduzieren.

Bitte melden Sie sich telefonisch oder per E-Mail an.Dieses Angebot ist kostenlos.Ihr psychoonkologisches Team",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-18,2018-06-18,17:15:00,18:15:00,NA,"Universitaetsklinikum Wuerzburg"
"Kunstausstellung - Erweiterte Realitaet","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/kunstausstellung-erweiterte-realitaet/2018-06-18/?tx_events2_events%5Baction%5D=show&cHash=1431c974c8ba7047b10bdfb05a2245f1","Ausstellungseroeffnung: Freitag, 16. Maerz 2018, um 18 UhrDie Ausstellung endet am 13. Juli 2018Magistrale des Zentrums Operative MedizinOberduerrbacher Strasse 6, 97080 WuerzburgDie Ausstellung wird im Beisein des Generalkonsuls der Republik Belarus Herrn Andrei Kulazhanka eroeffnet. Wir laden Sie dazu sehr herzlich ins Zentrum fuer Operative Medizin, Oberduerrbacher Str. 6, ein.Das Programm wird musikalisch umrahmt von Ibrayim Bairam-Ali und Nazar Totovytskyi, Studenten der Wuerzburger Musikhochschule.

Flyer zum Download.",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-18,2018-07-13,NA,NA,NA,"Universitaetsklinikum Wuerzburg"
"Fotowettbewerb fuer Schulen: „Pflanzen in Herzform“","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/fotowettbewerb-fuer-schulen-pflanzen-in-herzform/2018-06-18/?tx_events2_events%5Baction%5D=show&cHash=b8e23789bc0cdae92945a7588db22a5d","Ein Bild sagt mehr als 1.000 Worte. Und dies gilt besonders an einem Ort wie der Landesgartenschau, auf der es spannende Motive in Huelle und Fuelle gibt. Das Uniklinikum Wuerzburg schreibt daher einen Fotowettbewerb fuer Schuelerinnen und Schueler aller Schularten ab dem 5. Schuljahr aus. Gesucht werden Fotografen, die bei ihrem Besuch auf der LGS auf Entdeckungsreise nach „Pflanzen in Herzform“ gehen. Pflanzen, Blueten, Blaetter und viele andere Motive, die an ein Herz erinnern, gilt es, mit Smartphone und Spiegelreflexkamera aufzuspueren und gekonnt in Szene zu setzen. 
 
 
 
Mitmachen – so geht’s:
 Termin: Vom 12. April bis 20. Juni 2018Einsendeschluss: 20. Juni 2018Zwei Altersstufen: Klassenstufen 5 bis 8 (Kategorie 1) und 9 bis 13 (Kategorie 2)Pro Schueler/in koennen bis zu drei Fotos eingereicht werden Die Fotos muessen auf dem Gelaende der Landesgartenschau aufgenommen werdenDateiformat: JPG bis zu 4 MB pro Foto Der Jury gehoeren Fachleute aus den Bereichen Fotografie und Bildung sowie Jugendliche an.50 Preise winken sowie eine Ausstellung der besten FotosDie Preisverleihung findet am 3. Juli 2018, 14-15 Uhr auf der Tribuene statt. Gluecksfee ist Stefan Schmitt, Teamkapitaen des 2. Bundesliga-Handballvereins „DJK Rimpar Woelfe“, der die Preise verteiltDie praemierten Fotos werden vom 11. Juli bis 7. August 2018 im LAB 13 ausgestellt. 
In vier Schritten seid Ihr dabei:Formular ausdrucken, ausfuellen und unterschreiben; wenn Ihr noch keine 18 Jahre seid, bitte die Anmeldung von einem Elternteil unterschreiben lassenAusgefuelltes und unterschriebenes Formular abfotografieren oder einscannen und dann gemeinsam mit Euren Fotos an folgende E-Mail-Adresse senden: fotowettbewerb@ ukw.de.Bitte die Fotos so benennen: Name_Vorname_1, Name_Vorname_2, Name_Vorname_3.E-Mail als Einreichbestaetigung aufheben",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-18,2018-06-20,NA,NA,NA,"Universitaetsklinikum Wuerzburg"
"Infoabend Blasen- und Senkungsbeschwerden","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/infoabend-blasen-und-senkungsbeschwerden/2018-06-18/?tx_events2_events%5Baction%5D=show&cHash=844dbc579367c9659d50e6a677a8e319","Die Krankheitsbilder der Senkung im Genitalbereich und des unwillkuerlichen Harnverlusts sind international sehr weit verbreitet. Sie koennen in jedem Alter auftreten, doch zeichnet sich eine deutliche Tendenz der Zunahme mit steigendem Alter ab. Obwohl die Lebensqualitaet der betroffenen Patientinnen oft stark davon beeintraechtigt ist, hindert sie die Scham oftmals daran, professionelle Hilfe zu suchen. Senkung und Inkontinenz sind jedoch kein unabwendbares Schicksal, sondern gut behandelbar! 

Zwecks Enttabuisierung des Themas und zur besseren Aufklaerung von Interessierten und Betroffenen gleichermassen, veranstaltet die Internationale Kontinenz Gesellschaft jaehrlich eine Welt-Kontinenz-Woche. Seit der ersten Veranstaltung im Jahre 2009 nahm die Zahl der Veranstaltungen sowie der Teilnehmer deutschlandweit stark zu. 

Als grosse Uniklinik mit spezieller Expertise in diesem Bereich und langjaehrige Beratungsstelle der Deutschen Kontinenz Gesellschaft, haben wir einen wichtigen Versorgungsauftrag in Mainfranken. Der Informationstag bietet Ihnen die Moeglichkeit, sich umfassend ueber alle aktuellen Entwicklungen und die neusten Therapieoptionen zu informieren. An die Fachvortraege schliesst sich eine Diskussions- und Fragerunde an.",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-18,2018-06-18,17:00:00,NA,NA,"Universitaetsklinikum Wuerzburg"
"Anaesthesiologisches Kolloquium Sommersemester 2018","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/anaesthesiologisches-kolloquium-sommersemester-2018/2018-06-19/?tx_events2_events%5Baction%5D=show&cHash=52818797b91bb2ab5381cef9e5eb7e54","Gerne laden wir Sie auch in diesem Jahr wieder zu unsereretablierten Fortbildungsreihe der Klinik und Poliklinik fuerAnaesthesiologie herzlich ein.

Fuer unser „Anaesthesiologisches Kolloquium“ konntenwir erneut renommierte Referenten gewinnen, dieThemen aus Anaesthesie, Intensivmedizin, Notfallmedizinund Schmerztherapie praesentieren werden. In bewaehrterWeise folgt den Vortraegen eine kollegiale Diskussion.

Selbstverstaendlich sind alle Vortraege mit 2 Punkten beider Bayerischen Landesaerztekammer akkreditiert.

Wir freuen uns auf interessante Themen, praegnanteVortraege, versierte Referenten und ganz besonders aufIhr Kommen.",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-19,2018-07-24,17:00:00,19:00:00,NA,"Universitaetsklinikum Wuerzburg"
"\"Impfung mit Dendritischen Zellen als Komponente einer personalisierten Krebstherapie\"","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/impfung-mit-dendritischen-zellen-als-komponente-einer-personalisierten-krebstherapie/2018-06-20/?tx_events2_events%5Baction%5D=show&cHash=51af17f35f7d2485cfe22cb30be69147",NA,9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-20,2018-06-20,16:30:00,18:00:00,NA,"Universitaetsklinikum Wuerzburg - Klinik und Poliklinik fuer Dermatologie, Venerologie und Allergologie"
"Interdisziplinaerer Arbeitskreis Rheumatologie 2018","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/interdisziplinaerer-arbeitskreis-rheumatologie-2018/2018-06-20/?tx_events2_events%5Baction%5D=show&cHash=c818557b903142dcd851c1ce3528733f","Mittwochs von 18:00 s. t. bis 19:30 Uhr
14.03.2018    Dr. Cyrus Sayehli25.04.2018    Dr. Juergen Wolf20.06.2018    Dr. Christoph Schoen25.07.2018    Dr. Alexander Strate10.10.2018    Dr. Sebastian Herrmann28.11.2018    Dr. Ottar Gadeholt
mit folgenden Themen: Autoimmune Nebenwirkungen bei neuen Medikamenten zur Immuntherapie von malignen ErkrankungenModerne Therapie des Asthma bronchiale, in der zunehmend Biologika verwendet werden, die auch fuer rheumatologische Entitaeten interessant werden koenntenMikrobiologische Diagnostik in der Rheumatologie, z.B. bei reaktiver Arthritis oder septischer ArthritisGerinnungsstoerungen in der Rheumatologie, die zwar nicht haeufig, aber meist lebensbedrohlich sindAntiinflammatorische Therapie in der Kardiologie, z.B. bei Herzinsuffizienz oder KHKDie differentialdiagnostische Herausforderung bei seronegativer rheumatoider Arthritis 
Wir bedanken uns bei der forschenden Pharmaindustrie fuer die Unterstuetzung!(weitere Details siehe Flyer/Plakat)",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-20,2018-06-20,18:00:00,19:30:00,NA,"Universitaetsklinikum Wuerzburg - Rheumazentrum Wuerzburg"
"Geburtshilflicher Infoabend","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/geburtshilflicher-infoabend/2018-06-21/?tx_events2_events%5Baction%5D=show&cHash=2dde6c7d2d10d1c5c1814dc2f771bbfa",NA,9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-21,2018-06-21,18:00:00,NA,NA,"Universitaetsklinikum Wuerzburg"
"Entspannungsgruppe","https://www.ukw.de/patienten-besucher/veranstaltungskalender/detail/entspannungsgruppe/2018-06-21/?tx_events2_events%5Baction%5D=show&cHash=2901c314ed358a48cd5fc60920e7450b","Eine Krebserkrankung und die damit verbundene Behandlung koennen fuer die Betroffenen wie auch fuer nahestehende Personen eine schwere Belastung darstellen. Die professionelle Begleitung der Patienten und Behandlung ihrer psychischen Beschwerden waehrend und nach der Akuttherapie ist Aufgabe der Psychoonkologie.

Als sehr wirksame Therapieverfahren zur Bewaeltigung von Stress, Angst, Schmerzen und anderen koerperlichen Beschwerden haben sich insbesondere Übungen zur Entspannung und Achtsamkeit sowie die Arbeit mit inneren Bildern mittels geleiteter Vorstellung bewaehrt. 

Wir bieten interessierten Betroffenen sowie den Angehoerigen an, entsprechende Übungen unter Anleitung in einer woechentlich stattfindenden Gruppe kennenzulernen und zu vertiefen. Die Übungen werden im Sitzen oder Liegen und im Stehen erlernt, mit dem Ziel, diese selbstaendig im Alltag durchfuehren zu koennen.

Im Zentrum unseres Gruppenangebotes stehen Entspannungsübungen wie die Progressive Muskelentspannung sowie Yoga- und Atemuebungen. Diese Verfahren foerdern innere Ausgeglichenheit, Ruhe, Konzentration und eine Verbesserung der Koerperkraft. Die Techniken sind leicht zu erlernen und koennen gut im Alltag eingesetzt werden.

Dieses Angebot ist kostenlos. Ihr psychoonkologisches Team",9.9568908,49.802107,"Wuerzburg","Josef-Schneider-Strasse 11","97080",2018-06-21,2018-06-21,10:00:00,11:00:00,NA,"Universitaetsklinikum Wuerzburg"
