"title"||"url"||"description"||"lng"||"lat"||"city"||"street"||"zip"||"date_start"||"date_end"||"time_start"||"time_end"||"price"||"organizer"
"Keiler Bike Marathon"||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.5688717"||"49.9797883"||"Lohr"||"Zum Muschbach 2"||"97816"||2018-06-23||2018-06-24||NA||NA||NA||NA
"Ausstellung \"Wir lächeln das Leben an\""||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.9533548"||"49.7913044"||"Würzburg"||"Rottendorfer Str. 28"||"97074"||2018-06-28||2018-08-02||NA||NA||NA||NA
"Ausstellung \"Wilde Pflanzen vor der Tür\""||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.7637462"||"49.9616401"||"Karlstadt"||"Marktpl. 2"||"97753"||2018-08-01||2018-08-10||NA||NA||NA||"Sparkasse Mainfranken"
"Tanzinsel Gemünden"||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.7059316"||"50.0494605"||"Gemünden"||"Kolpingstraße 7"||"97737"||2018-08-25||NA||NA||NA||NA||NA
"MSP Expo"||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.5722309"||"49.9892207"||"Lohr"||"Am Sommerberg 53"||"97816"||2018-09-29||2018-10-03||NA||NA||NA||NA
"Ausstellung Kinderhospiz Sternenzelt"||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.6029155"||"49.8455009"||"Marktheidenfeld"||"Luitpoldstraße 29"||"97828"||2018-10-08||2018-10-19||NA||NA||NA||"Sparkasse Mainfranken"
"Sparwoche für Kinder"||"https://www.sparkasse-mainfranken.de/de/home/ihre-sparkasse/termine-und-events.html?n=true&stref=hnav"||NA||"9.93496"||"49.79417"||"Würzburg"||"Hofstraße 9"||"97070"||2018-10-22||2018-10-26||NA||NA||NA||"Sparkasse Mainfranken"
"Easy Cooking: Wenig Aufwand, viel Genuss"||"https://www.schroeder-haus.de/veranstaltungsdetails/0530885331a5d485cda65cb75c15c6bb/?tx_adebisevents_list%5Bevent%5D=1447&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"19.6.18, Dienstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-19||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Fotografieren mit dem Smartphone"||"https://www.schroeder-haus.de/veranstaltungsdetails/841c459a4f9ab97ac7c220b202c693cc/?tx_adebisevents_list%5Bevent%5D=1448&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Vom Auslösen bis zum Ausdrucken  19.6.18, Dienstag, 15.30 Uhr, 1x"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-19||NA||0.645833333333333||NA||"Gebühr: € 5,- (ermäßigt € 3,-)"||"R.-A.Schroeder-Haus"
"Meditation - Einführung und Begleitung"||"https://www.schroeder-haus.de/veranstaltungsdetails/4ee042db0522e7c3a835c43c3abc49e1/?tx_adebisevents_list%5Bevent%5D=1449&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"21.6.- 19.7.18, donnerstags, 20.00 bis 21.00 Uhr, 5x  Es soll die Möglichkeit gegeben werden, Meditation kennenzulernen und über einen längeren Zeitraum einzuüben. Verschiedene Meditations-Formen werden angeboten, um den persönlich geeigneten Weg zu finden: wir werden üben, den Körper wahrzunehmen, den Atem zu spüren, auf die Stille zu hören und in Ruhe und Bewegung achtsam und wach anwesend zu sein."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-21||2018-07-19||0.833333333333333||0.875||"Gebühr: € 30,-"||"R.-A.Schroeder-Haus"
"\"Was beißt und sticht mich da?\""||"https://www.schroeder-haus.de/veranstaltungsdetails/0980fa81e8976e66518efc87c870dd0b/?tx_adebisevents_list%5Bevent%5D=1450&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Plagen des Sommers  27.6.18, Mittwoch, 10.00 bis 11.30 Uhr  Im Rahmen der Reihe \"Frauen-Frühschoppen\" -  ein offenes Angebot für Frauen jeden Alters, auch Männer sind herzlich willkommen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-27||NA||0.416666666666667||0.479166666666667||"Gebühr: € 4,-"||"R.-A.Schroeder-Haus"
"Quer durch den Sommer-Gemüsegarten (vegetarisch)"||"https://www.schroeder-haus.de/veranstaltungsdetails/6c169d6930008d2d47a1e684b3d98e8c/?tx_adebisevents_list%5Bevent%5D=1451&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"28.6.18, Donnerstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-28||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Cocktail & Fingerfood"||"https://www.schroeder-haus.de/veranstaltungsdetails/a69228989cbf6e611a8d53413a7ea77f/?tx_adebisevents_list%5Bevent%5D=1452&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"29.6.18, Freitag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-29||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Qigong - Wildgans Typ II: Gesundheitszustandstraining"||"https://www.schroeder-haus.de/veranstaltungsdetails/40193b816d46a0eabaecd8288b6243bb/?tx_adebisevents_list%5Bevent%5D=1453&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"30.6. + 1.7.18, Samstag und Sonntag, jeweils 10.00 bis 13.00 Uhr und 14.15 bis 17.15 Uhr, 2x  Der Kurs behandelt das Gedächtnistraining, die verschiedenen körperlichen Beweglichkeiten, Verbesserung der Abwehrkräfte und alle organischen Funktionen im Körper. Um das Ziel zu erreichen, sollte man täglich für zehn Minuten in der Natur Qigong mit den sanften und fließenden Bewegungsabläufen trainieren. Es dient somit der Heilung, Vorbeugung von vielen bekannten Krankheiten und unterstützt die Genesung. Für Anfänger/innen und Fortgeschrittene geeignet. * Bitte mitbringen: Schreibutensilien, bequeme Kleidung und Schuhe"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-30||2018-07-01||0.416666666666667||0.541666666666667||"Gebühr: € 73,-"||"R.-A.Schroeder-Haus"
