",""title"",""url"",""description"",""lng"",""lat"",""city"",""street"",""zip"",""date_start"",""date_end"",""time_start"",""time_end"",""price"",""organizer"""																					
"1,""Biodiversitaet in Wald, Wiese und Weinberg"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/biodiversitaet-in-wald-wiese-und-weinberg.html"",""2016 erhielt die kirchliche Stiftung St. Maternus zu Guentersleben fuer Ihre Art der Waldpflege den Bayerischen Biodiversitaetspreis. Bei einer „Querwaldein“ Exkursion wird ihnen der Waldbeauftragte der Stiftung nicht nur die Vielfalt dieses fraenkischen Laubwaldes sondern auch die dortige artenreiche Kulturlandschaft naeher bringen."",9.9199,49.79746,""Wuerzburg"",""Stiftungswald Guentersleben"",""97082"",""2018-06-24"",""2018-06-24"",14:00:00,16:30:00,""NA"",""Naturschutzbund Bayern"""																					
"2,""Unterwegs mit dem Grueffelo"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/unterwegs-mit-dem-grueffelo-1.html"",""„Wie dumm vom Fuchs, er fuercht sich so, dabei gibt’s ihn doch gar nicht, den Grueffelo!“ Seid ihr dem schrecklichen Grueffelo schon einmal begegnet? Wir wollen uns im Wald auf die Suche nach dem warzigen Gesellen machen und auch die kleine schlaue Maus aufspueren. Vielleicht werden wir auch noch andere Waldbewohner entdecken."",9.9199,49.79746,""Wuerzburg"",""Sieboldswaeldchen, Wuerzburg"",""97082"",""2018-06-24"",""2018-06-24"",15:00:00,17:00:00,""NA"",""Naturschutzbund Bayern"""																					
"3,""Der Holunder – voller Heilkraft und warum man sich frueher unter ihm kuesste"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/der-holunder-voller-heilkraft-und-warum-man-sich-frueher-unter-ihm-kuesste.html"",""Der Holunder spielte schon vor Jahrtausenden eine wichtige Rolle in der Heilkunde. Im Altertum wurde er sogar als „Medizinschrank“ bezeichnet und die damalige Verwendung ist noch heute typisch fuer diesen Baum. Welche Heilwirkung koennen wir nutzen? Es gibt auch Interessantes ueber Brauchtum und in Sagen zum Holunder zu erzaehlen. Fuer die Kelten und Germanen war er z. B. ein heiliger Schutzbaum und auch fuer Liebende war er wertvoll. Es gibt an diesem Abend auch sinnliche Genuesse. Lassen Sie sich verfuehren!"",9.9199,49.79746,""Wuerzburg"",""Oekohaus Wuerzburg, Luitpoldstr. 7a"",""97082"",""2018-06-27"",""2018-06-27"",19:00:00,NA,""NA"",""Naturschutzbund Bayern"""																					
"4,""Ameisen - Das grosse Krabbeln"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/ameisen-das-grosse-krabbeln-2.html"",""wer kennt das nicht, kaum liegt ein Stueck Essen am Boden, sind sie schon da - die Ameisen. Meist tauchen sie in grosser Zahl auf und oftmals sind sie fuer uns Menschen ungebetene Besucher. Doch sie werden auch die Polizei des Waldes genannt. Wieso denn das? Und wie kommt es eigentlich, dass sie so gut organisiert sind?Wir werden uns im Garten des Oekohauses auf die Suche nach den kleinen Krabblern machen und herausfinden, was es bedeutet eine Ameise zu sein."",9.9199,49.79746,""Wuerzburg"",""Oekohaus Wuerzburg"",""97082"",""2018-07-07"",""2018-07-07"",15:30:00,17:30:00,""NA"",""Naturschutzbund Bayern"""																					
"5,""Wertvolle Pflanzen- und Insektenwelt an den Haengen des Retzbachtals"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/wertvolle-pflanzen-und-insektenwelt-an-den-haengen-des-retzbachtals.html"",""Von Retzbach aus laufen wir den Hang hinauf zum „Klotz“. Unterwegs werden vor allem Insekten und ihre Wirtspflanzen angesprochen. Mit dem ortsansaessigen Artenkenner Wolfgang Piepers ist das auch fuer „Fortgeschrittene“ ein Genuss. Von der Gebietsbetreuerin Muschelkalk, Christiane Brandt, erfahren Sie u. a. welche Pflegemassnahmen von Seiten des Naturschutzes ausgefuehrt werden, um die wertvollen Biotope des Retzbachtals zu erhalten."",9.9199,49.79746,""Wuerzburg"",""Retzbachtal"",""97082"",""2018-07-08"",""2018-07-08"",14:00:00,16:00:00,""NA"",""Naturschutzbund Bayern"""																					
"6,""FRAeNKISCHEN ERDEN® fuer Terrasse, Balkon und Garten vom Hochbeet bis zur Rasen-Neuanlage"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/fraenkischen-erdenr-fuer-terrasse-balkon-und-garten-vom-hochbeet-bis-zur-rasen-neuanlage.html"",""Das Kompostwerk Wuerzburg verarbeitet im Jahr bis zu 56.000 Tonnen organische Abfaelle. Durch Biomassetrocknung mit anschliessender Kompostierung entsteht Brennstoff und Kompost mit RAL-Guetezeichen (www.gz-kompost.de). Substratkompost aus Gruengut bildet anschliessend die Basis fuer hochwertige Regionalerden, die unter dem Begriff FRAeNKISCHE ERDEN ® vermarktet werden. Das Sortiment umfasst die Produkte Premium Blumenerde, Premium Pflanzerde, Bio Blumen-& Pflanzerde, Balkon-/Kuebelpflanzenerde und Gartenerde. Sie sind qualitaetsgesichert, frei von Unkraut und sparen Mineralduenger ein, da sie von Natur aus reich an Naehrstoffen sind. Je nach Anwendungsbereich sind sie stark torfreduziert oder torffrei.  Bei einem Rundgang am Kompostwerk besuchen wir die Bereiche Gruengutannahme, Biogutannahme und Kompostierhalle. Dabei werden die Produkte wie Kompost, Rindenmulch und vor allem die Anwendungsbereiche der FRAeNKISCHEN ERDEN ® erlaeutert. "",9.9199,49.79746,""Wuerzburg"",""Kompostwerk Wuerzburg"",""97082"",""2018-07-14"",""2018-07-14"",10:00:00,11:30:00,""NA"",""Naturschutzbund Bayern"""																					
"7,""Im wilden Wald mit Ronja Raeubertochter"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/im-wilden-wald-mit-ronja-raeubertochter-2.html"",""So wie Ronja Raeubertochter moechten viele Kinder gerne leben: ganz alleine im Wald, einfach toben und rennen koennen, ohne Grenzen und Regeln. Doch ist es wirklich so einfach? Man muss sich im Wald gut orientieren koennen um sich nicht zu verirren, muss Pflanzen kennen und auch wissen wie und wo man Tiere findet. All das wollen wir heute ausprobieren und mal sehen ob wir am Schluss auch so sicher im Wald sein werden wie Ronja!"",9.9199,49.79746,""Wuerzburg"",""Hintere Steinbachtal, Wuerzburg"",""97082"",""2018-07-14"",""2018-07-14"",15:30:00,17:30:00,""NA"",""Naturschutzbund Bayern"""																					
"8,""Naechtliche Expedition in die Natur"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/naechtliche-expedition-in-die-natur-2.html"",""Wollt ihr einmal erforschen, was in der Nacht im Wald so alles los ist? Dann kommt mit auf eine kleine Entdeckungstour, denn die Nacht bietet viele Gelegenheiten fuer aufregende Abenteuer. Zuerst wollen wir mit kleinen Spielen unsere Sinne schulen. Wisst ihr eigentlich, wie man sich mit Hilfe der Sterne orientieren kann und kennt ihr schon den """"Grossen Wagen""""? Mit etwas Glueck begegnen wir auf unserer Runde den naechtlichen Insektenjaegern, den Fledermaeusen. Am Ende wollen wir gemeinsam versuchen, auch ein kleines Wegstueck ohne Taschenlampe zurueckzulegen. Also lasst euch ueberraschen, welche Sinneseindruecke die Nacht sonst noch zu bieten hat."",9.9199,49.79746,""Wuerzburg"",""Steinbachtal, Wuerzburg"",""97082"",""2018-07-20"",""2018-07-20"",21:00:00,23:00:00,""NA"",""Naturschutzbund Bayern"""																					
"9,""Naturkosmetik selbstgemacht – Wege zur natuerlichen Haarpflege"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/naturkosmetik-selbstgemacht-wege-zur-natuerlichen-haarpflege.html"",""Kraeftiges, glaenzendes Haar bis in die Spitzen – wer wuenscht sich das nicht? Dafuer muss man nicht unbedingt teure Pflegeprodukte, mit teilweise bedenklichen Inhaltsstoffen kaufen, denn Haarpflegeprodukte selbst herzustellen ist mit etwas Knowhow nicht schwer. Die ersten Zutaten dafuer finden sich in fast jeder Kueche. In diesem Kurs lernen wir, worauf es bei einer natuerlichen Haarpflege ankommt, was sie leisten kann und was nicht und wie man dem eigenen Haar mit einfachen Mitteln etwas Gutes tut.  Nach einem einfuehrenden Vortrag ueber die kosmetischen Grundlagen ruehren wir zusammen drei Haarpflegeprodukte, von denen jeder Teilnehmer natuerlich etwas zum Ausprobieren mit nach Hause nimmt: ein mildes Shampoo, eine pflegende Cremespuelung und ein Spray, das die Haare leicht kaemmbar macht."																					
",9.9199,49.79746,Wuerzburg"",""Oekohaus Wuerzburg, Luitpoldstr. 7a"",""97082"",""2018-07-21"",""2018-07-21"",09:30:00,12:30:00,""NA"",""Naturschutzbund Bayern"""																					
"10,""Laubengaenge, Rosenduft und Wasserspiele"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/laubengaenge-rosenduft-und-wasserspiele-1.html"",""Rundgang durch den Hofgarten mit Erlaeuterungen zur Parkgeschichte, zu den barocken Rabattensystemen, den exotischen und einheimischen Baeumen sowie deren Bedeutung fuer die Gartenkuenstler vergangener Tage."",9.9199,49.79746,""Wuerzburg"",""Hofgarten Wuerzburg"",""97082"",""2018-07-22"",""2018-07-22"",10:00:00,11:30:00,""NA"",""Naturschutzbund Bayern"""																					
"11,""Nicht Pflanze, nicht Tier, was koennte das sein? Pilze!"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/nicht-pflanze-nicht-tier-was-koennte-das-sein-pilze-2.html"",""Pilze sind ueberall, nur manchmal verstecken sie sich. Deshalb wollen wir uns heute auf Pilzschatzsuche begeben. Dabei werden wir allerhand Wissenswertes ueber die Pilze und ihre vielfaeltige Lebensweise erfahren. Mit Bastelprojekten und Spielen ist es ganz einfach, vieles ueber Pilze zu erfahren und zu lernen. Spielerisch werdet ihr so zu kleinen Pilzexperten! Ihr werdet staunen, wie gross die Welt der Pilze ist! Hinweis: Dies ist keine Speisepilz-Sammelveranstaltung. Wir beschaeftigen uns mit Formen, Farben und oekologischen Aspekten der Pilzwelt und werden grundsaetzlich keine Pilze sammeln, sondern wir werden sie nur im Umfeld suchen und betrachten."",9.9199,49.79746,""Wuerzburg"",""Steinbachtal, Wuerzburg"",""97082"",""2018-08-05"",""2018-08-05"",14:00:00,16:00:00,""NA"",""Naturschutzbund Bayern"""																					
"12,""Enziane, Astern und Witwenblumen – spaetsommerliche Pflanzenwelt am Staendelberg"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/enziane-astern-und-witwenblumen-spaetsommerliche-pflanzenwelt-am-staendelberg-1.html"",""Wir besuchen den Staendelberg (Teil des Naturschutzgebietes „Maeusberg/Rammersberg/Staendelberg“) und lernen dort einiges ueber die vielfaeltige Pflanzen- und Insektenwelt dieses schoenen Gebietes kennen. Sie erfahren interessante oekologische Zusammenhaenge und etwas ueber die Pflege des dortigen Magerrasens. Geniessen Sie auch die schoene Aussicht ins Maintal und in den Spessart."",9.9199,49.79746,""Wuerzburg"",""Staendelberg bei Wiesenfeld"",""97082"",""2018-09-02"",""2018-09-02"",14:00:00,16:00:00,""NA"",""Naturschutzbund Bayern"""																					
"13,""Wir entdecken die Vogelwelt des Waldes"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/wir-entdecken-die-vogelwelt-des-waldes-1.html"",""Was fiept und piept und klopft denn da? Gemeinsam wollen wir die Welt der Voegel erkunden. Wir entdecken, welche Voegel es im Wald gibt und wie sie leben. Dabei kommt der Spiel-Spass natuerlich nicht zu kurz!"",9.9199,49.79746,""Wuerzburg"",""Steinbachtal, Wuerzburg"",""97082"",""2018-09-09"",""2018-09-09"",14:00:00,16:00:00,""NA"",""Naturschutzbund Bayern"""																					
"14,""Naturerleben und Singen am Blutsee bei Kleinrinderfeld/Kist"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/naturerleben-und-singen-am-blutsee-bei-kleinrinderfeldkist.html"",""Der Blutsee ist ein Niedermoor im Irtenberger Wald. Er wurde bereits seit 1941 als Naturschutzgebiet ausgewiesen. Der Name geht auf eine spezielle Art von roten Einzellern zurueck, die sich im Blutsee gelegentlich massenweise vermehren und so den See mehr oder weniger blutrot erscheinen laesst. Bei unserer Wanderung erhalten Sie weitere aktuelle Informationen ueber dieses eindrucksvolle Gebiet, wie z. B. ueber die Fledermaeuse, die sich dort sehr wohl fuehlen. An einigen schoenen Plaetzen werden wir verweilen und singen: bekannte und leicht zu lernende Lieder aus verschiedenen Kulturen, die der Seele gut tun. Das Singen und Toenen stimmt uns ein auf die herbstliche Pflanzenwelt und verbindet uns mit der Natur in ihrem Werden und Vergehen."																					
" Vorkenntnisse im Singen sind nicht erforderlich. Jede(r) ist herzlich willkommen! Etwas zum Trinken mitzubringen ist empfehlenswert!"",9.9199,49.79746,""Wuerzburg"",""Blutsee bei Kleinrinderfeld und Kist"",""97082"",""2018-09-09"",""2018-09-09"",15:00:00,17:30:00,""NA"",""Naturschutzbund Bayern"""																					
"15,""Schimmelpilze in Wohnraeumen - was tun?"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/schimmelpilze-in-wohnraeumen-was-tun-3.html"",""Themen:Beseitigung des SchimmelpilzesFeuchtigkeit in Wohnraeumenrichtige Heizung, richtiges LueftenWaermebruecken, Trockenlegung"",9.9199,49.79746,""Wuerzburg"",""Oekohaus Wuerzburg"",""97082"",""2018-09-12"",""2018-09-12"",19:00:00,NA,""NA"",""Naturschutzbund Bayern"""																					
"16,""Grundlagen zum Bau eines Passivhauses, Plusenergiehauses und Sonnenhauses"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/grundlagen-zum-bau-eines-passivhauses-plusenergiehauses-und-sonnenhauses-2.html"",""Bei dieser Veranstaltung werden die theoretischen Grundlagen von Passiv-, Plusernergie- und Sonnenhaeusern erlaeutert. Anschliessend wird anhand praktischer Beispiele auf Baukonstruktion, Baumaterialien, Erdwaermetauscher, Lueftungsanlage sowie Daemmung und Luftdichtigkeit eingegangen. Die Wohngesundheit wird thematisiert.Auch Foerdermoeglichkeiten und Kostengesichtspunkte sind Teil des Vortrags."																					
",9.9199,49.79746,Wuerzburg"",""Oekohaus Wuerzburg"",""97082"",""2018-09-13"",""2018-09-13"",19:00:00,NA,""NA"",""Naturschutzbund Bayern"""																					
"17,""Sinnvolle Waermedaemmung fuer Alt- und Neubauten – was ist zu beachten?"",""https://wuerzburg.bund-naturschutz.de/veranstaltungen/termin/sinnvolle-waermedaemmung-fuer-alt-und-neubauten-was-ist-zu-beachten-1.html"",""Die Veranstaltung erlaeutert wichtige Regeln der Waermedaemmung und stellt fuer unterschiedliche Gebaeudesituationen sinnvolle Daemmmethoden vor. Besondere Beachtung gilt der Verwendung natuerlicher Materialien. Ausserdem erhalten Sie wichtige Informationen ueber den Energieausweis fuer Gebaeude, der fuer viele Haeuser Pflicht ist."",9.9199,49.79746,""Wuerzburg"",""Oekohaus Wuerzburg, Luitpoldstr. 7a"",""97082"",""2018-09-19"",""2018-09-19"",19:00:00,NA,""NA"",""Naturschutzbund Bayern"""																					
